P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
HAT-P-13 b,14.25912,2.91625,HAT-P-13,0.41,1.22,1.56,5653.0,0.042679344,1506.4818,1496.5791,1516.6177,2.2266594,0.0
HAT-P-13 c,4.191425871296591,446.27,HAT-P-13,0.41,1.22,1.56,5653.0,1.4881528,272.95182,218.49816,484.16774,2.2266594,0.0
HAT-P-14 b,15.9182,4.62767,HAT-P-14,0.11,2.65,1.82,6600.0,0.075646006,1430.1579,1358.4761,1517.1149,5.6312806,0.0
HAT-P-15 b,11.8826,10.8635,HAT-P-15,0.22,1.0,1.07,5568.0,0.097706888,817.59968,751.20189,910.51612,0.98594595,0.0
HAT-P-16 b,14.44969,2.77596,HAT-P-16,0.17,1.22,1.24,6158.0,0.041326762,1487.1589,1461.2102,1514.7957,1.9810286,0.0
HAT-P-17 b,11.7705,10.33852,HAT-P-17,0.0,0.99,0.87,5246.0,0.09821502,703.3723,610.18004,879.36303,0.51361807,0.0
HAT-P-17 c,4.191425871296591,5584.0,HAT-P-17,0.0,0.99,0.87,5246.0,6.02588,90.240865,77.304285,116.69334,0.51361807,0.0
HAT-P-18 b,11.15395,5.508023,HAT-P-18,0.1,0.77,0.75,4803.0,0.056097215,775.1085,744.80013,810.22688,0.2682017,0.0
HAT-P-19 b,12.68972,4.008778,HAT-P-19,0.23,0.84,0.82,4990.0,0.046704594,922.37938,893.20136,955.19219,0.37352402,0.0
HAT-P-2 b,4.191425871296591,5.6335158,HAT-P-2,0.18,1.33,1.39,6380.0,0.077253583,1247.3684,1031.152,1827.9338,2.8681441,0.0
HAT-P-20 b,9.71907,2.875317,HAT-P-20,0.35,0.76,0.69,4595.0,0.036104061,885.45688,878.90212,892.18602,0.19016426,0.0
HAT-P-21 b,12.4431,4.12448,HAT-P-21,0.01,1.24,1.21,5588.0,0.055492469,1161.3456,1050.6679,1327.9223,1.2790425,0.0
HAT-P-22 b,12.8915,3.21222,HAT-P-22,0.24,1.13,1.11,5302.0,0.04437715,1168.8833,1157.3959,1180.7799,0.87235549,0.0
HAT-P-23 b,12.2189,1.21288,HAT-P-23,0.15,0.58,0.96,5905.0,0.018670258,1870.5861,1776.8294,1984.3223,1.0039468,0.0
HAT-P-24 b,14.573,3.35524,HAT-P-24,-0.16,1.37,1.38,6373.0,0.048823419,1494.8053,1445.526,1550.5163,2.8146377,0.0
HAT-P-25 b,12.72335,3.6528151,HAT-P-25,0.294,1.01,0.92,5519.0,0.046612326,1080.8466,1068.6626,1093.5311,0.70356767,0.0
HAT-P-26 b,7.0623,4.23452,HAT-P-26,-0.04,1.12,0.87,5079.0,0.053567421,904.62801,855.56575,965.20834,0.45127368,0.0
HAT-P-27 b,11.4342,3.039577,HAT-P-27,0.29,0.94,0.9,5300.0,0.04,1108.1134,1108.1134,1108.1134,0.57263402,0.0
HAT-P-28 b,13.58652,3.257215,HAT-P-28,0.12,1.02,1.1,5680.0,0.043456442,1260.2196,1229.4632,1293.8495,1.1284111,0.0
HAT-P-29 b,13.1157,5.72319,HAT-P-29,0.21,1.45,1.3,6087.0,0.07114532,1148.6196,1100.7363,1204.6915,2.0786844,0.0
HAT-P-3 b,10.5374,2.8997,HAT-P-3,0.27,1.06,0.87,5185.0,0.040567684,1058.3647,1058.3647,1058.3647,0.49014231,0.0
HAT-P-30 b,16.1424,2.8106,HAT-P-30,0.13,1.55,1.31,6304.0,0.045133614,1497.4388,1468.5064,1528.4699,2.4282649,0.0
HAT-P-31 b,12.2189,5.00542,HAT-P-31,0.15,1.31,1.39,6065.0,0.064603736,1254.2468,1126.2983,1454.0449,2.3422943,0.0
HAT-P-32 b,22.1958,2.1500082,HAT-P-32,-0.16,1.13,1.37,6001.0,0.034399398,1677.113,1560.3121,1831.7036,2.1808424,0.0
HAT-P-33 b,20.7385,3.47447,HAT-P-33,0.05,1.82,1.79,6446.0,0.054801493,1623.8193,1623.8193,1623.8193,4.9562809,0.0
HAT-P-34 b,15.1335,5.45265,HAT-P-34,0.22,4.26,1.73,6442.0,0.10777349,1176.2975,992.85847,1592.1155,4.6181043,0.0
HAT-P-35 b,39.7955,3.64671,HAT-P-35,0.11,23.56,3.82,6096.0,0.13295281,1440.5163,1419.4628,1462.7051,18.054905,0.0
HAT-P-36 b,14.31517,1.3273468,HAT-P-36,0.014020760003518647,1.03,1.04,5620.0,0.0241,1627.2772,1627.2772,1627.2772,0.96671974,0.0
HAT-P-37 b,13.20538,2.797436,HAT-P-37,0.014020760003518647,0.93,0.88,5500.0,0.037963748,1167.9119,1135.687,1203.583,0.63489915,0.0
HAT-P-38 b,9.24825,4.640382,HAT-P-38,0.014020760003518647,0.89,0.92,5330.0,0.052417387,985.06605,953.90503,1020.1089,0.6120306,0.0
HAT-P-39 b,17.61091,3.54387,HAT-P-39,0.014020760003518647,1.4,1.62,6430.0,0.0509,1598.9197,1598.9197,1598.9197,4.0194124,0.0
HAT-P-4 b,14.28154,3.056536,HAT-P-4,0.014020760003518647,1.0038376485013707,1.5371422191458501,5860.0,0.04438,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HAT-P-40 b,17.0392,4.45724,HAT-P-40,0.22,1.03,1.94,6080.0,0.05351793,1613.5107,1613.5107,1613.5107,4.6079358,0.0
HAT-P-41 b,22.9805,2.69405,HAT-P-41,0.21,2.56,2.05,6390.0,0.051823488,1771.4608,1771.4608,1771.4608,6.2776891,0.0
HAT-P-42 b,14.3488,4.641878,HAT-P-42,0.27,1.18,1.53,5743.0,0.0575,1305.773,1305.773,1305.773,2.2815331,0.0
HAT-P-43 b,14.36001,3.332687,HAT-P-43,0.23,1.05,1.1,5645.0,0.0443,1239.8681,1239.8681,1239.8681,1.1008542,0.0
HAT-P-44 b,13.92282,4.301219,HAT-P-44,0.33,0.94,0.95,5295.0,0.050749078,1010.1556,988.75936,1033.2655,0.63562316,0.0
HAT-P-44 c,4.191425871296591,872.2,HAT-P-44,0.33,0.94,0.95,5295.0,1.9657755,169.07138,140.60556,241.60311,0.63562316,0.0
HAT-P-45 b,15.98546,3.128992,HAT-P-45,0.07,1.26,1.32,6330.0,0.045254263,1507.5555,1472.1457,1546.1381,2.5064056,0.0
HAT-P-46 b,14.39364,4.463129,HAT-P-46,0.3,1.28,1.4,6120.0,0.058136472,1327.4931,1253.8764,1418.8772,2.4634877,0.0
HAT-P-49 b,17.8239,2.69155,HAT-P-49,0.07,2.22,2.06,6820.0,0.049388842,1941.4251,1941.4251,1941.4251,8.2254674,0.0
HAT-P-5 b,13.5641,2.78849,HAT-P-5,0.24,1.04,1.12,5960.0,0.039273541,1402.8858,1402.8858,1402.8858,1.4181094,0.0
